arxiv_id,title,authors,comments,journal_ref,subjects,abstract_url,pdf_url,html_url,other_formats_url
arXiv:2502.15917,Qubit-Efficient Quantum Annealing for Stochastic Unit Commitment,"Wei Hong, Wangkun Xu, Fei Teng",,,Quantum Physics (quant-ph); Emerging Technologies (cs.ET); Systems and Control (eess.SY),https://arxiv.org/abs/2502.15917,https://arxiv.org/pdf/2502.15917,https://arxiv.org/html/2502.15917v1,https://arxiv.org/format/2502.15917
arXiv:2502.15919,Mind the Gap! Static and Interactive Evaluations of Large Audio Models,"Minzhi Li, William Barr Held, Michael J Ryan, Kunat Pipatanakul, Potsawee Manakul, Hao Zhu, Diyi Yang",,,Computation and Language (cs.CL); Sound (cs.SD); Audio and Speech Processing (eess.AS),https://arxiv.org/abs/2502.15919,https://arxiv.org/pdf/2502.15919,https://arxiv.org/html/2502.15919v1,https://arxiv.org/format/2502.15919
arXiv:2502.15936,"Space-O-RAN: Enabling Intelligent, Open, and Interoperable Non Terrestrial Networks in 6G","Eduardo Baena, Paolo Testolina, Michele Polese, Dimitrios Koutsonikolas, Josep Jornet, Tommaso Melodia",,,Networking and Internet Architecture (cs.NI); Artificial Intelligence (cs.AI); Systems and Control (eess.SY),https://arxiv.org/abs/2502.15936,https://arxiv.org/pdf/2502.15936,,https://arxiv.org/format/2502.15936
arXiv:2502.15973,A convex variational principle for the necessary conditions of classical optimal control,"Amit Acharya, Janusz Ginster",,,Optimization and Control (math.OC); Systems and Control (eess.SY); Dynamical Systems (math.DS),https://arxiv.org/abs/2502.15973,https://arxiv.org/pdf/2502.15973,https://arxiv.org/html/2502.15973v1,https://arxiv.org/format/2502.15973
arXiv:2502.16028,Autonomous Agricultural Monitoring with Aerial Drones and RF Energy-Harvesting Sensor Tags,"Paul S. Kudyba, Haijian Sun",accepted by a conference,,Networking and Internet Architecture (cs.NI); Signal Processing (eess.SP),https://arxiv.org/abs/2502.16028,https://arxiv.org/pdf/2502.16028,https://arxiv.org/html/2502.16028v1,https://arxiv.org/format/2502.16028
arXiv:2502.16060,Single-Channel EEG Tokenization Through Time-Frequency Modeling,"Jathurshan Pradeepkumar, Xihao Piao, Zheng Chen, Jimeng Sun",,,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Signal Processing (eess.SP),https://arxiv.org/abs/2502.16060,https://arxiv.org/pdf/2502.16060,https://arxiv.org/html/2502.16060v1,https://arxiv.org/format/2502.16060
arXiv:2502.16079,Together We Rise: Optimizing Real-Time Multi-Robot Task Allocation using Coordinated Heterogeneous Plays,"Aritra Pal, Anandsingh Chauhan, Mayank Baranwal",Accepted to AAMAS 2025 (AAAI Track),,Robotics (cs.RO); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Multiagent Systems (cs.MA); Systems and Control (eess.SY),https://arxiv.org/abs/2502.16079,https://arxiv.org/pdf/2502.16079,https://arxiv.org/html/2502.16079v1,https://arxiv.org/format/2502.16079
arXiv:2502.16142,Understanding Zero-shot Rare Word Recognition Improvements Through LLM Integration,Haoxuan Wang,,,Computation and Language (cs.CL); Audio and Speech Processing (eess.AS),https://arxiv.org/abs/2502.16142,https://arxiv.org/pdf/2502.16142,https://arxiv.org/html/2502.16142v1,https://arxiv.org/format/2502.16142
arXiv:2502.16200,On Distributed Average Consensus Algorithms,Ricardo Merched,"13 pages, 8 figures, journal type",,Optimization and Control (math.OC); Signal Processing (eess.SP),https://arxiv.org/abs/2502.16200,https://arxiv.org/pdf/2502.16200,https://arxiv.org/html/2502.16200v1,https://arxiv.org/format/2502.16200
arXiv:2502.16207,Improving Speech Enhancement by Cross- and Sub-band Processing with State Space Model,"Jizhen Li, Weiping Tu, Yuhong Yang, Xinmeng Xu, Yiqun Zhang, Yanzhen Ren",,,Sound (cs.SD); Audio and Speech Processing (eess.AS),https://arxiv.org/abs/2502.16207,https://arxiv.org/pdf/2502.16207,https://arxiv.org/html/2502.16207v1,https://arxiv.org/format/2502.16207
arXiv:2502.16271,Power Domain Sparse Dimensional Constellation Multiple Access (PD-SDCMA): A Novel PD-NOMA for More Access Users,"Zihan Li, Youzhi Li, Chenyu Liuand Yuhao Lian",,,Emerging Technologies (cs.ET); Signal Processing (eess.SP),https://arxiv.org/abs/2502.16271,https://arxiv.org/pdf/2502.16271,https://arxiv.org/html/2502.16271v1,https://arxiv.org/format/2502.16271
arXiv:2502.16293,Optimization-free Smooth Control Barrier Function for Polygonal Collision Avoidance,"Shizhen Wu, Yongchun Fang, Ning Sun, Biao Lu, Xiao Liang, Yiming Zhao",,,Optimization and Control (math.OC); Robotics (cs.RO); Systems and Control (eess.SY),https://arxiv.org/abs/2502.16293,https://arxiv.org/pdf/2502.16293,https://arxiv.org/html/2502.16293v2,https://arxiv.org/format/2502.16293
